,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
"Immix Technology, Inc.",Virginia (VA) Department of Taxation,500-1999,,522,Perpetual,0,522,272,522,0,240,522,0,271,0,0,0,0,0,0,0,0,0,0,0,,,125280,125280,62640,325728,66816,250560,102834,313200,,1372338
"Inova Solutions, Inc.",John Hopkins University,2000-4999,,2375,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Arthur J. Gallagher (US),Over 10000,,10200,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Janney Montgomery Scott LLC,5000-9999,,6340,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6340,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Burlington Northern Santa Fe LLC,2000-4999,,4002,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Societe Generale Americas Operational Services, Inc.",2000-4999,,2755,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Vertical Screen, Inc.",2000-4999,,2328,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Point 72 Asset Management, L.P.",2000-4999,,2160,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Cobb County,2000-4999,,2148,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2148,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Sea Mar Community Health Centers,500-1999,,2002,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Centura Health - Englewood,500-1999,,1647,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",New Jersey Turnpike Authority Inc,500-1999,,1400,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Federated Investors,500-1999,,1335,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Baptist Health System, Inc",500-1999,,1130,SaaS,1130,1130,0,800,800,800,380,0,0,800,0,0,0,0,0,0,0,0,0,0,,,91200,,,705120,,,,,,796320
"ISI Telemanagement Solutions, LLC",Metropolitan Atlanta Rapid Transit Authority (MARTA),500-1999,,1130,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Community Clinic of NWA,500-1999,,1050,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Entergy Services Inc,500-1999,,1042,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Stafford County - VA,500-1999,,1000,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",United Heritage Credit Union,500-1999,,955,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",M&T Bank,500-1999,,882,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",TaxAudit,500-1999,,800,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Reid Hospital & Health Systems,500-1999,,718,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Advisor Group,500-1999,,650,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Fidelity Bank of Kansas,500-1999,,602,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",University of Texas Health Science Center San Antonio,500-1999,,586,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC","Cambia Health Solutions, Inc. fka Regence Group, The",500-1999,,566,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Idaho Department of Health and Welfare,500-1999,,564,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",University Medical Center of El Paso,500-1999,,522,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",OMAHA PUBLIC POWER DISTRICT (OPPD),500-1999,,515,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Radwell International Inc.,500-1999,,511,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",ARVEST BANK,500-1999,,510,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",East Central Ind. School District,500-1999,,502,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",City of Altamonte Springs,500-1999,,500,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Hanover Insurance Group,500-1999,,1690,Perpetual,0,1690,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,132960,66480,1054560,216320,811200,332930,1014000,202800,3831250
Kova Corporation,Burlington County 911,500-1999,,1308,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Orange County Emergency Services,500-1999,,1268,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Septa,500-1999,,1089,Perpetual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Martin County FL Sheriff,500-1999,,785,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,,,0,,,,,,,,,0
Kova Corporation,Miami Dade Fire Rescue,500-1999,,746,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,"General Dynamics Information Technology, Inc.",500-1999,,1080,Perpetual,0,360,364,685,360,715,362,0,722,1080,0,0,0,0,0,0,0,0,0,0,,,86880,,,224640,46080,172800,70920,,,601320
Meridian IT Inc.,American Family Life Assurance Company of Columbus (AFLAC),500-1999,,550,Term,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Baltimore County Communications Center,500-1999,,1416,Perpetual,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1416,0,0,0,,,240,,,,,,,,,240
"Motorola Solutions, Inc.",Montgomery County Maryland,500-1999,,991,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Massachusetts State Police,500-1999,,905,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Public Service Enterprise Group (PSEG),500-1999,,556,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",City of Stockton Police and Fire,500-1999,,512,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,,,0,,,,,,,,,0
Netagen Communication Technologies Inc.,City of Calgary,500-1999,,688,Term,0,688,80,224,0,224,224,0,224,289,0,0,0,0,0,0,0,0,0,0,,,53760,53760,,429312,88064,330240,135536,,,1090672
"Northland Business Systems, Inc.",Minnesota Central Region,500-1999,,835,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,,,0,,,,,,,,,0
NWN Corporation,Florida Department of Children and Families / Florida Abuse Hotline,500-1999,,1050,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Patterson Companies,Patterson Dental Supply,500-1999,,847,SaaS,0,847,0,567,567,469,376,0,567,458,0,0,414,0,0,0,0,0,0,0,,,90240,,,528528,,,,,,618768
"Presidio Networked Solutions, LLC",Entergy Services Inc,2000-4999,x,2200,Term,0,2200,0,1100,1100,1100,1100,0,1100,1100,0,0,0,0,0,0,0,0,0,0,,,264000,,,1372800,281600,1056000,433400,,264000,3671800
"Presidio Networked Solutions, LLC",NYUMC Langone,2000-4999,x,2134,Perpetual,0,2134,1661,1678,401,1115,1359,0,1659,835,0,0,0,0,0,0,0,0,0,0,,,326160,,,1331616,273152,1024320,420398,,,3375646
"Presidio Networked Solutions, LLC",Geisinger Health Systems,500-1999,,1868,Perpetual,0,1867,1868,1522,0,441,1,0,1523,456,0,0,0,0,0,0,0,0,0,0,,,240,365280,,1165008,238976,896160,367799,,,3033463
"Presidio Networked Solutions, LLC",1199 SEIU National Benefits Fund,500-1999,,600,SaaS,600,600,0,300,300,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,,,0,,,374400,76800,288000,118200,,,857400
"Red River Solutioins, LLC","Advance Auto Parts, Inc.",500-1999,,1000,SaaS,0,1000,0,700,700,700,700,0,700,0,0,0,0,0,0,0,0,0,0,0,,,168000,,,624000,128000,480000,197000,,,1597000
"Reliant Energy Retail Services, LLC.",NRG Energy Inc,2000-4999,,2120,Term,0,2120,2111,2120,0,2110,610,0,0,1793,0,0,0,0,0,0,0,0,0,0,,,146400,508800,,1322880,271360,1017600,417640,,,3684680
ServiceMaster Consumer Services Limited Partnership,"Terminix Consumer Services, LLC",500-1999,x,1500,SaaS,0,1500,0,1500,1500,0,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,,,360000,,,936000,,,,,,1296000
