,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
Wipro Limited,Greater Toronto Airport Authority,150-499,,340,Perpetual,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,212160,43520,163200,66980,204000,40800,730660
"Motorola Solutions, Inc.",Howard County 911,150-499,,338,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,,,0,,,,,,,,,0
"Presidio Networked Solutions, LLC",Duquesne Light Company,150-499,,336,Term,0,335,336,285,0,165,165,0,0,165,0,0,165,0,0,0,10,0,0,0,,,39600,68400,,209040,42880,160800,65995,,,586715
"Motorola Solutions, Inc.",Calvert County MD,150-499,,335,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Orange County Regional Computer,150-499,,330,Term,0,156,1,0,0,210,0,0,0,330,0,0,0,0,0,0,0,0,0,0,,,0,,,97344,19968,74880,30732,,,222924
"ISI Telemanagement Solutions, LLC",Occidental Petroleum Corporation,150-499,,325,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Patient First Corporation,150-499,,324,Term,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,202176,41472,155520,63828,194400,38880,696276
BT Americas Inc.,Santander - US,150-499,,322,Perpetual,0,94,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,,,0,,,58656,12032,45120,18518,56400,11280,202006
CBTS Technology Solutions LLC,Consumers Energy Company,150-499,,322,Term,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,200928,41216,154560,63434,193200,38640,691978
"Motorola Solutions, Inc.",United States Army,150-499,,318,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,,,0,,,,,,,,,0
Avaya LLC,University Of Connecticut Health Center,150-499,,315,Perpetual,0,315,0,315,315,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,,,0,,,196560,40320,151200,62055,189000,37800,676935
"World Wide Technology, Inc.",Yukon Kuskokwim Health Corp,150-499,,315,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,,,0,,,,,,,,,0
WTI Holdings LLC dba Waterfield Technologies,"Delta Dental Plan of Michigan, Inc",150-499,,314,Perpetual,0,0,0,0,0,0,314,0,197,0,0,0,0,0,0,0,0,0,0,0,,,75360,,,,,,,,,75360
Vista Com,Lower Colorado River Authority,150-499,,312,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,,,0,,,,,,,,,0
"ConvergeOne, Inc",Leon Medical Centers,150-499,,310,SaaS,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Community Bank & Trust,150-499,,309,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Colorado Springs School District,150-499,,306,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",Olmsted County Sheriff,150-499,,304,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Avaya Global IT CCT,150-499,,301,Perpetual,0,300,301,300,0,60,300,0,301,300,0,0,300,0,0,0,0,0,0,0,,,72000,72000,,187200,38400,144000,59100,,,572700
Group Elite Communications Inc.,Physicians Mutual Insurance Company,150-499,,301,Perpetual,0,300,300,301,0,0,300,0,300,150,0,0,0,0,0,0,0,0,0,0,,,72000,72240,,187200,38400,144000,59100,,,572940
"ISI Telemanagement Solutions, LLC",Hope Enterprise Corp.,150-499,,301,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,,,0,,,,,,,,,0
"Cameo Global, Inc.",Physicians Mutual Insurance Company,150-499,,301,Perpetual,0,0,300,301,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,,,72000,72240,36120,,,,,,,180360
Avaya LLC,Convergent Resources a/k/a ER Solutions,150-499,,300,Term,0,300,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,187200,38400,144000,59100,180000,36000,644700
Avaya LLC,Legacy System Office,150-499,,300,Term,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,187200,38400,144000,59100,180000,36000,644700
Avaya LLC,Weill Cornell Medical College,150-499,,300,Term,0,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,187200,38400,144000,59100,180000,36000,644700
Group Elite Communications Inc.,Usana Health Sciences,150-499,,300,Term,0,300,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,61200,30600,187200,38400,144000,59100,180000,36000,736500
"Cisco Systems, Inc.",Physicians Mutual Insurance Company,150-499,,300,Perpetual,0,0,300,300,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,,,72000,72000,36000,,,,,,,180000
"ISI Telemanagement Solutions, LLC",Clarke County Hospital,150-499,,300,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Covenant Management Systems,150-499,,295,Perpetual,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,184080,37760,141600,58115,177000,35400,633955
"Immix Technology, Inc.",Community Health Choice,150-499,,295,SaaS,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
New Era Technology CX,Revel Systems,150-499,,293,Term,0,293,0,163,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,,,39120,39120,19560,182832,37504,140640,57721,175800,35160,727457
Vonage Business Limited,"Rocket Travel, Inc.",150-499,,290,SaaS,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Baptist Health,150-499,,286,Term,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,178464,36608,137280,56342,171600,34320,614614
WTI Holdings LLC dba Waterfield Technologies,Kohler,150-499,,284,Perpetual,0,283,284,283,0,184,271,0,260,272,0,0,0,0,0,0,0,0,0,0,,,65040,67920,,176592,36224,135840,55751,,,537367
"IPC Systems, Inc.",MUFG Securities Americas Inc.,150-499,,281,Perpetual,0,281,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,,0,,,175344,35968,134880,55357,168600,33720,603869
"Amazon Web Services, Inc.",LA County Department of Child and Family Services,150-499,,280,SaaS,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"IPC Systems, Inc.","Lord, Abbett & Co. LLC",150-499,,280,Perpetual,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,174720,35840,134400,55160,168000,33600,601720
"World Wide Technology, Inc.",Shasta Community Health Center,150-499,,280,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,,,0,,,,,,,,,0
Carousel Industries of North America,Federal Reserve Bank,150-499,,275,Perpetual,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,,,66000,,,,,,,,,66000
"ConvergeOne, Inc",Frost National Bank,150-499,,274,Term,0,273,274,273,273,263,273,0,273,273,0,0,0,0,0,0,0,0,0,0,,,65520,,,170352,34944,131040,53781,,,455637
"ISI Telemanagement Solutions, LLC",Mecklenburg County,150-499,,271,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Delta Defense LLC,150-499,,271,SaaS,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,TCS e-Serve International Ltd,150-499,,270,Perpetual,0,270,71,170,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,,,0,40800,20400,168480,34560,129600,53190,162000,,609030
Avaya LLC,VCU POCA,150-499,,270,Term,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Long View Systems Corporation,"Hydro One Networks, Inc.",150-499,,270,Term,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,168480,34560,129600,53190,162000,32400,580230
"ISI Telemanagement Solutions, LLC",Central Electric Power Cooperative (CEPC),150-499,,269,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,,,0,,,,,,,,,0
May Day Communications Inc.,Atlanticare Health System,150-499,,268,Perpetual,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,268,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Texas A&M University,150-499,,264,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,,,0,,,,,,,,,0
Evolve IP LLC,NSM Insurance Group,150-499,,260,SaaS,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Entergy Services Inc,150-499,,258,Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Corewell Health,150-499,,256,SaaS,0,256,0,255,255,20,215,0,255,0,0,0,0,0,0,0,0,0,0,0,,,51600,,,159744,,,,,,211344
"Capture Technologies, Inc.",NAWCAD,150-499,,252,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Kissimmee Utility Authority,150-499,,251,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,,,0,,,,,,,,,0
Archsys Incorporated,Spirit Airlines,150-499,,251,Term,0,250,251,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,,,0,,,156000,32000,120000,49250,150000,,507250
Avaya LLC,Lydia Security Monitoring T/A Cops,150-499,,250,Term,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,156000,32000,120000,49250,150000,30000,537250
Avaya LLC,Hudson Valley Credit Union,150-499,,250,Term,0,30,0,0,0,191,0,0,0,250,0,0,0,0,0,0,0,0,0,0,,,0,,,18720,3840,14400,5910,,3600,46470
Avaya LLC,Miami-Dade County ICFB fka Overtown Transit,150-499,,250,Perpetual,0,0,0,0,0,150,0,0,250,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Harborview Medical Center,150-499,,250,SaaS,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,New York City Board of Education (Central),150-499,,250,SaaS,0,0,0,0,0,250,250,0,0,250,0,0,0,0,0,0,0,0,0,0,,,60000,,,,,,,,,60000
Carousel Industries of North America,Cartus Corporation,150-499,,250,SaaS,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,156000,32000,120000,49250,,,357250
Servion Global Solutions Inc,Roche Diagnostics Corporation,150-499,,250,SaaS,0,250,0,250,250,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,,,0,,,156000,32000,120000,49250,,,357250
"Alliance Technology Group, LLC","Allianz Technology of America, Inc.",150-499,,250,Perpetual,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,,,60000,,,,,,,,,60000
"ISI Telemanagement Solutions, LLC",Florida Polytechnic University,150-499,,250,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,BioScript Solutions,150-499,,250,SaaS,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Hayes e-Government,150-499,,249,Term,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,155376,31872,119520,49053,149400,29880,535101
Avaya LLC,University of Utah,150-499,,246,Term,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Arrow Enterprise Computing Solutions, Inc","Atos IT Solutions and Services, Inc.",150-499,,246,SaaS,0,0,0,110,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,,,0,26400,13200,,,,,,,39600
Avaya LLC,Portsmouth Naval Hospital,150-499,,240,Term,0,144,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,89856,18432,69120,28368,86400,17280,309456
"Northland Business Systems, Inc.",MetCad 911,150-499,,234,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,,,0,,,,,,,,,0
BusComm Incorporated,MetCad 911,150-499,,233,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Invitae Corporation,150-499,,231,SaaS,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Minnesota State Retirement Services,150-499,,229,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,,,0,,,,,,,,,0
"ConvergeOne, Inc",University of Kansas Medical Center,150-499,,226,Term,0,225,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,140400,28800,108000,44325,135000,,456525
"Talkdesk, Inc.",Early Warning Services LLC,150-499,,225,SaaS,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
LexisNexis Risk Solutions Inc.,"LexisNexis VitalChek Network, Inc.",150-499,,225,Term,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Great Wolf Resorts, Inc.",150-499,,225,SaaS,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,,,54000,,,,,,,,,54000
"Motorola Solutions, Inc.",Santee Cooper Power,150-499,,224,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Personal Touch Holding Co.,150-499,,222,Term,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,138528,28416,106560,43734,133200,26640,477078
"ISI Telemanagement Solutions, LLC",Retirement Systems of Alabama,150-499,,220,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Flare Logistics, Inc.",150-499,,220,SaaS,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,,,52800,,,,,,,,,52800
Avaya LLC,"Asset Marketing Services, LLC",150-499,,216,Term,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,134784,27648,103680,42552,129600,25920,464184
"ConvergeOne, Inc","WebMD, LLC",150-499,,215,Term,0,215,215,215,0,0,0,0,215,215,0,0,215,0,0,0,0,0,0,0,,,0,51600,,134160,27520,103200,42355,,,358835
Vonage Business Limited,GAF Materials,150-499,,215,SaaS,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Snohomish County Public Utility,150-499,,211,Perpetual,0,211,0,171,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,,,0,41040,20520,131664,27008,101280,41567,126600,25320,514999
Avaya LLC,"Venetian Casino Resort, LLC",150-499,,210,Term,0,0,1,0,0,210,0,0,0,210,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Sound Communications Inc.,Staley Technologies,150-499,,210,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,,,0,,,,,,,,,0
"Talkdesk, Inc.",Quadient,150-499,,210,SaaS,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Unify, Inc.",Blue Cross and Blue Shield of Vermont,150-499,,208,Perpetual,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,49920,24960,,,,,,,74880
Group Elite Communications Inc.,"Industrielle Alliance, Assurances et Services Financier Inc.",150-499,,206,Perpetual,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,128544,26368,98880,40582,123600,24720,442694
Sound Communications Inc.,Garrett County 911,150-499,,206,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Berkley Technology Services,150-499,,206,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Septa,150-499,,205,Perpetual,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,127920,26240,98400,40385,123000,24600,440545
"ISI Telemanagement Solutions, LLC",Advanced Infusion Systems Healthcare,150-499,,205,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Porsche Cars North America Inc,150-499,,204,Term,0,0,1,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",TriMet,150-499,,204,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Chelan PUD,150-499,,204,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Hospital For Special Surgery,150-499,,201,SaaS,0,200,0,200,200,50,0,0,200,201,0,0,0,0,0,0,0,0,0,0,,,0,,,124800,25600,96000,39400,,,285800
"ISI Telemanagement Solutions, LLC",City of Brenham,150-499,,201,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Umpqua Health,150-499,,201,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Indiana Farm Bureau Insurance,150-499,,201,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",ConAgra Foods,150-499,,201,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Healthgrades,150-499,,201,SaaS,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Natl Jew Med & Res Cntr,150-499,,200,Term,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,124800,25600,96000,39400,120000,24000,429800
Avaya LLC,Liberty Mutual,150-499,,200,SaaS,200,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,48000,24000,124800,25600,96000,39400,120000,,477800
Servion Global Solutions Inc,"Intradiem, inc.",150-499,,200,Term,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,,,48000,,,,,,,,,48000
"Presidio Networked Solutions, LLC","Selective Insurance Company of America, Inc.",150-499,,200,SaaS,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Kindred Healthcare,150-499,,200,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"School Specialty, Inc.",150-499,,200,SaaS,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,"Behavioral Health Response, Inc.",150-499,,200,SaaS,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Talkdesk, Inc.",Maxor National Pharmacy Services LLC,150-499,,194,SaaS,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Kenton County,150-499,,194,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Reading Hospital & Medical Center,150-499,,192,Term,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,119808,24576,92160,37824,115200,23040,412608
Group Elite Communications Inc.,"Intralox, LLC",150-499,,192,Term,0,192,192,192,0,0,192,0,192,0,0,0,0,0,0,0,0,0,0,0,,,46080,46080,23040,119808,24576,92160,37824,115200,,504768
Sound Communications Inc.,Dayton Power & Light,150-499,,192,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Columbia Bank,150-499,,191,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Columbia Basin Health Association,150-499,,190,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Centre County 911,150-499,,189,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,,,0,,,,,,,,,0
"Axispoint Technology Solutions Group, Inc.",Safra Bank,150-499,,187,Perpetual,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,116688,23936,89760,36839,112200,22440,401863
"ISI Telemanagement Solutions, LLC",OrthoCarolina,150-499,,186,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Hawaii County Civil Defense Agency,150-499,,182,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,,,0,,,,,,,,,0
Avaya LLC,CSSS de Chicoutimi,150-499,,181,Perpetual,0,180,181,180,180,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,,,0,,,112320,23040,86400,35460,108000,,365220
Avaya LLC,Ademco Inc,150-499,,180,Term,0,180,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,112320,23040,86400,35460,108000,21600,386820
"Cisco Systems, Inc.",Arthur J. Gallagher (US),150-499,,180,Term,0,180,180,180,0,180,180,0,180,0,0,0,180,0,0,0,0,0,0,0,,,43200,43200,21600,112320,23040,86400,35460,108000,,473220
"IPC Systems, Inc.","PNC Bank, National Association",150-499,,180,Perpetual,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,112320,23040,86400,35460,108000,21600,386820
"Capture Technologies, Inc.",United States Marines,150-499,,180,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Erlanger Medical Center,150-499,,178,Term,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,111072,22784,85440,35066,106800,21360,382522
"ISI Telemanagement Solutions, LLC",North Kansas City Hospital,150-499,,178,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,,,0,,,,,,,,,0
"ConvergeOne, Inc",The Blackstone Group Inc,150-499,,175,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,,,0,,,,,,,,,0
"Adtech Global Solutions, Inc.","City and County of Denver, Denver 911",150-499,,175,Perpetual,0,0,0,0,0,0,175,0,175,0,0,0,0,0,0,0,0,0,0,0,,,42000,,,,,,,,,42000
Evolve IP LLC,"Comoto Holdings, Inc.",150-499,,175,SaaS,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Norgren Express,150-499,,172,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,,,0,,,,,,,,,0
"ISI Telemanagement Solutions, LLC",Broward County Aviation Department,150-499,,171,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,,,0,,,,,,,,,0
Meridian IT Inc.,Donlen Corporation,150-499,,169,SaaS,0,169,105,169,0,105,169,0,169,0,0,0,0,0,0,0,0,0,0,0,,,40560,40560,20280,105456,,,,,,206856
Avaya LLC,Washington Suburban Sanitary Commission,150-499,,168,Term,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,McMaster University,150-499,,166,SaaS,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,103584,,,,,,103584
Avaya LLC,Brooks Equipment Company,150-499,,165,Term,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,102960,21120,79200,32505,99000,19800,354585
"Goserco, Inc.",Bernalillo County Sheriff,150-499,,161,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,,,0,,,,,,,,,0
"Capture Technologies, Inc.",Santa Clara Valley Transportation Authority,150-499,,161,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,,,0,,,,,,,,,0
"Motorola Solutions, Inc.",Bernalillo County Sheriff,150-499,,161,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,Affordable Care,150-499,,161,SaaS,0,0,0,161,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,,,38640,38640,19320,,,,,,,96600
Accent Techn Solutions,Accenture,150-499,,160,Term,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,99840,20480,76800,31520,96000,,324640
"Motorola Solutions, Inc.",Newton County GA E911,150-499,,160,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,,,0,,,,,,,,,0
"Replay Systems, Inc.",Palm Beach Gardens,150-499,,158,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,,,0,,,,,,,,,0
"Northland Business Systems, Inc.",MINN Southeast Regional,150-499,,158,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,,,0,,,,,,,,,0
Vonage Business Limited,MTD Products Inc.,150-499,,158,SaaS,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
