account,full_name,title,linkedin_url
Centene,Darien Smith,Senior Director | Enterprise Operations  [no LinkedIn URL yet],
Centene,"Beau Winfrey,  MBA",Senior Director Business Operations  [no LinkedIn URL yet],
Centene,"Denise Black, LCSW, PhD, CPHQ","Senior Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Sharon Hutchison,Director Claims Configuration  [no LinkedIn URL yet],
Centene,Dawn Pardee,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,John Bondar,"Director, Workforce Management  [no LinkedIn URL yet]",
Centene,"Daniel Simien, BS, PMP, SSGB","Senior Director, Continuous Improvement  [no LinkedIn URL yet]",
Centene,Caroline P.,Market and Operations Director  [no LinkedIn URL yet],
Centene,Alicia Hemker,"Director, Operations  [no LinkedIn URL yet]",
Centene,Lindsey Daye,"Director, Claims Operations  [no LinkedIn URL yet]",
Centene,Catherine Leary,"Director, Operations  [no LinkedIn URL yet]",
Centene,Keyana S. Brown,Senior Director Business Operations  [no LinkedIn URL yet],
Centene,Natasha F.,Director Of Business Operations  [no LinkedIn URL yet],
Centene,Susan Fitzgibbons,"Director, Medicare Operations  [no LinkedIn URL yet]",
Centene,Glenn (Tony) Cabrera,Director of Outbound Operations  [no LinkedIn URL yet],
Centene,Sondra Cameron,Director of Operations  [no LinkedIn URL yet],
Centene,Ken Whitlock,Senior Director of Operations  [no LinkedIn URL yet],
Centene,Lauriale C.,Sr. Director of Medical Management Operations  [no LinkedIn URL yet],
Centene,Erin Meador,Director of Operations  [no LinkedIn URL yet],
Centene,Katherine Bell-Anthony,Director of Clinical Operations  [no LinkedIn URL yet],
Centene,Susie Castilleja,Senior Director. Utilization Management  [no LinkedIn URL yet],
Centene,Candace Campbell,"Director Of Operations, Provider Solutions  [no LinkedIn URL yet]",
Centene,Nick Gerontes,"Director, Datacenter Operations  [no LinkedIn URL yet]",
Centene,Lori Speer,Director Workforce Management  [no LinkedIn URL yet],
Centene,Diana Garber,Director Of Operations  [no LinkedIn URL yet],
Centene,David Brown,Director of New Business Implementations and Operations  [no LinkedIn URL yet],
Centene,Erica Anderson,Director of Health Operations  [no LinkedIn URL yet],
Centene,Kyle Busch,Director of Workforce Management Quality and Reporting  [no LinkedIn URL yet],
Centene,Mary Pimentel,Director of Market Operations  [no LinkedIn URL yet],
Centene,Myron Phillips,"Director, Service Center Operations  [no LinkedIn URL yet]",
Centene,Cynthia Jones,"Senior Director, Claims Operations  [no LinkedIn URL yet]",
Centene,Rhia Aponte,Director of Operations  [no LinkedIn URL yet],
Centene,Chris Ciao,"Director, Operations  [no LinkedIn URL yet]",
Centene,andrea afolabi-jallah,Director Utilization Management  [no LinkedIn URL yet],
Centene,Toni Monreal,"SR. DIRECTOR BUSINESS OPS, SHARED SERVICES  [no LinkedIn URL yet]",
Centene,Marsha Bock,"Director, Medical Management Operations  [no LinkedIn URL yet]",
Centene,Michelle Randolph,Director of Operations  [no LinkedIn URL yet],
Centene,Leticia Herrera,"Senior Director, EPHCO Utilization Management  [no LinkedIn URL yet]",
Centene,Kim Schwaegel-Wiskamp,"Director, Reimbursement Operations  [no LinkedIn URL yet]",
Centene,Kelley Graves,Director Of Business Operations  [no LinkedIn URL yet],
Centene,Mary Maupin,"Director, Quality and Process Improvement  [no LinkedIn URL yet]",
Centene,Lacey Frantjeskos,Director of Operations  [no LinkedIn URL yet],
Centene,"Derek Waldschmidt, MBA","Director, Operations  [no LinkedIn URL yet]",
Centene,Teresa Golichowski,"Director, Medicare Operations  [no LinkedIn URL yet]",
Centene,Samantha Jenkins,Director Vendor Implementation & Operations  [no LinkedIn URL yet],
Centene,David Doench,Director of Operations  [no LinkedIn URL yet],
Centene,Dedra Zanders,"Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Brooke Munoz,Director of Operations  [no LinkedIn URL yet],
Centene,Thomas Everett,Sr. Director Operations  [no LinkedIn URL yet],
Centene,Maryanne Bohn,Senior Director Of Operations  [no LinkedIn URL yet],
Centene,Albert Lopez,Director of Operations  [no LinkedIn URL yet],
Centene,"Shelby Wilson, MS, RD, LD, CLSSGB","Director, Ambetter Operations  [no LinkedIn URL yet]",
Centene,Grace Toramanian,Director Of Process Improvement  [no LinkedIn URL yet],
Centene,Joel Scott,Senior Director Of Operations  [no LinkedIn URL yet],
Centene,Thomas Siegrist,"Director, Enterprise Operations  [no LinkedIn URL yet]",
Centene,Maurio Smith,"Chief Operating Officer, Centene Medicaid",https://www.linkedin.com/in/mauriosmith/
Centene,Rayshawn Clay,Chief Operating Officer Health Plan,https://www.linkedin.com/in/rayshawn-clay-mba-cpc-4b99234/
Centene,William Kruegel,Chief Operating Officer - Sunshine Health,https://www.linkedin.com/in/william-kruegel-b7641a19/
Centene,Michael Grover,Chief Operating Officer - Centene Dental and Vision,https://www.linkedin.com/in/michael-grover-652b3b73/
Centene,Marianna Spanos,"Executive in Residence & COO, Ambetter Health Solutions",https://www.linkedin.com/in/marianna-spanos-329071b/
Centene,Felicia S. Thomas,"Vice President of Operations, Children Medical Services (CMS)",https://www.linkedin.com/in/felicia-s-thomas-756bb121/
Centene,Sherilyn (Spiller) Fahlstrom,"Chief Operating Officer, Sunflower Health Plan",https://www.linkedin.com/in/sherilynfahlstrom/
Centene,"Cindy Keen, MBA, PMP",Vice President of Operations,https://www.linkedin.com/in/cindy-keen/
Centene,Terry Weathers,Chief Financial Officer,https://www.linkedin.com/in/terrylweathers/
Centene,"Daisy Sinha, MBA, MHSA, PMP",Vice President of Operations,https://www.linkedin.com/in/daisy-sinha-mba-mhsa-pmp-82b60214/
Centene,Chris Perry,Plan Chief Financial Officer,https://www.linkedin.com/in/chris-perry-92221aa/
