contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources
H8432,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield HP,43986,3.5,3.3,3.0,21.4,9.1,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1994,"Intermountain Health Care, Inc.",Select Health,66554,3.5,3.8,3.6,32.4,9.0,0.28,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3288,CVS Health Corporation,Aetna Medicare,67539,3.5,3.7,3.1,32.9,9.0,0.27,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0523,CVS Health Corporation,Aetna Medicare,11384,3,2.8,3.6,11.7,8.6,0.74,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5475,Centene Corporation,Wellcare,20141,3,3.0,2.5,20.7,8.1,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6200,Lumeris Group Holdings Corporation,Essence Healthcare,10976,3,3.1,3.7,11.3,8.1,0.72,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H2923,"Devoted Health, Inc.",Devoted Health,16437,3.5,2.7,4.2,8.0,8.0,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8908,Humana Inc.,Humana,22259,3,3.3,2.7,22.9,7.8,0.34,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4141,Humana Inc.,Humana,124430,3.5,3.9,3.4,60.7,7.6,0.12,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H4937,California Physicians' Service,Blue Shield of California,45627,3.5,3.6,3.2,22.2,7.5,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8578,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,9841,3,3.0,3.6,10.1,7.2,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4982,CVS Health Corporation,Aetna Medicare,9688,3,2.3,3.3,10.0,7.1,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2509,"UnitedHealth Group, Inc.",UnitedHealthcare,72626,3.5,3.8,3.1,35.4,6.7,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5628,"Molina Healthcare, Inc.",Molina Healthcare of Utah & Idaho,16985,3,3.2,2.7,17.5,6.7,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6815,Centene Corporation,Wellcare By Health Net,12601,3,2.8,2.8,12.9,6.6,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0351,Centene Corporation,Wellcare By Allwell,23988,3.5,3.3,3.4,11.7,6.4,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0982,"Athena Healthcare Holdings, LLC",Solis Health Plans,21953,3.5,3.5,3.6,10.7,6.4,0.60,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H5779,Centene Corporation,Wellcare,13171,3,3.1,2.9,13.5,6.3,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6586,"Devoted Health, Inc.",Devoted Health,7256,3,2.5,3.7,7.5,6.3,0.84,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8849,"Elevance Health, Inc.",Wellpoint,55070,3.5,3.7,3.1,26.8,6.3,0.23,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3864,PacificSource,PacificSource Medicare,52821,3.5,3.7,3.1,25.8,6.2,0.24,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7379,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,46358,3.5,3.9,3.6,22.6,5.9,0.26,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0562,Centene Corporation,Wellcare By Health Net,24647,3.5,3.5,3.4,12.0,5.8,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5434,Guidewell Mutual Holding Corporation,Florida Blue,62044,3.5,3.8,3.1,30.2,5.8,0.19,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1666,Health Care Service Corporation,"Blue Cross and Blue Shield of NM, TX",15914,3,3.4,2.8,16.4,5.6,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5823,"Molina Healthcare, Inc.","Molina Healthcare of Washington, Inc.",13256,3,3.1,2.7,13.6,5.6,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8173,"Devoted Health, Inc.",Devoted Health,11405,3.5,2.8,4.3,5.6,5.6,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3832,Hawaii Medical Service Association,HMSA Akamai Advantage,37817,3.5,3.6,3.1,18.4,5.5,0.30,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5590,Centene Corporation,Wellcare By Allwell,26455,3.5,3.3,3.0,12.9,5.5,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0423,New York City Health and Hospitals Corporation,MetroPlus Health Plan,13517,3.5,3.2,3.8,6.6,5.4,0.81,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5926,"Molina Healthcare, Inc.",Molina Healthcare of Michigan,15595,3,3.4,2.7,16.0,5.3,0.33,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0908,Centene Corporation,Wellcare By Allwell,9227,3,2.7,2.9,9.5,5.2,0.54,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3113,"UnitedHealth Group, Inc.",UnitedHealthcare,80289,3.5,3.8,3.0,39.1,5.2,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5828,"Elevance Health, Inc.",Wellpoint,27710,3,3.6,2.2,28.5,5.2,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6743,ATRIO Health Plans,ATRIO Health Plans,21188,2.5,3.3,1.9,21.8,5.2,0.24,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5826,Community Health Plan of Washington,Community Health Plan of WA Medicare Advantage,8975,3,3.0,3.1,9.2,4.9,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2108,Health Care Service Corporation,Cigna HealthCare,12780,3,3.3,2.8,13.1,4.7,0.36,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8330,"Point32Health, Inc.",Tufts Health Plan,15506,3.5,3.2,3.5,7.6,4.6,0.61,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7006,ATRIO Health Plans,ATRIO Health Plans,10542,2,2.7,2.2,10.8,4.5,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9485,Mass General Brigham Incorporated,Mass General Brigham Health Plan,17823,3.5,3.7,3.7,8.7,4.5,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9955,"Molina Healthcare, Inc.",Molina Healthcare of Ohio,14295,3,3.4,2.8,14.7,4.5,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2458,Medica Holding Company,Medica,13830,3,3.5,3.0,14.2,4.4,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1610,CVS Health Corporation,Aetna Better Health of Virginia,11494,3,3.2,2.4,11.8,4.1,0.34,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8764,Montage Health,Aspire Health,8361,3,3.2,3.1,8.6,4.1,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9065,"Elevance Health, Inc.",AMH Health,15038,3.5,3.1,3.3,7.3,4.1,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9364,Centene Corporation,Wellcare,14975,3.5,3.2,3.4,7.3,4.1,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2056,CVS Health Corporation,Aetna Medicare,8029,3,2.9,2.9,8.2,4.0,0.49,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2686,"Devoted Health, Inc.",Devoted Health,10596,3.5,3.2,3.8,5.2,4.0,0.78,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5009,"Cambia Health Solutions, Inc.",Regence BlueShield,10501,3,3.4,3.0,10.8,4.0,0.37,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6019,Health Plan of San Mateo,HEALTH PLAN OF SAN MATEO,8542,3,3.0,2.8,8.8,4.0,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4711,CVS Health Corporation,Aetna Medicare,8461,3,3.2,3.0,8.7,3.9,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0571,Chinese Hospital Association,CCHP (Chinese Community Health Plan),5756,3,2.5,3.2,5.9,3.8,0.64,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2168,"Village Care of New York, Inc.",VillageCareMAX,10919,3.5,3.2,3.7,5.3,3.8,0.70,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3347,"Elderplan, Inc.",Elderplan,26603,3.5,3.5,2.9,13.0,3.7,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5273,"Point32Health, Inc.",CarePartners of Connecticut,11059,3.5,3.3,3.7,5.4,3.7,0.68,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5587,Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona Health Choice,8642,3.5,2.8,3.8,4.2,3.7,0.87,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H9096,Medica Holding Company,Dean Advantage,11533,3.5,3.7,3.9,5.6,3.7,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
R6801,"UnitedHealth Group, Inc.",UnitedHealthcare,39248,3.5,3.7,2.6,19.1,3.6,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8181,Blue Cross Blue Shield of Nebraska,Blue Cross and Blue Shield of Nebraska,21759,3,3.8,3.1,22.4,3.5,0.15,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H5410,Health Care Service Corporation,Cigna HealthCare,16030,3.5,3.4,3.2,7.8,3.4,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3748,CVS Health Corporation,Aetna Medicare,4436,3,3.1,3.6,4.6,3.2,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5087,Centene Corporation,Wellcare,13417,3.5,3.1,3.1,6.5,3.2,0.49,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5361,"Independence Health Group, Inc.",AmeriHealth,7602,2.5,2.9,2.4,7.8,3.2,0.41,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6018,"Devoted Health, Inc.",Devoted Health,8244,3.5,2.7,3.7,4.0,3.2,0.79,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2737,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,4919,2.5,2.8,3.2,5.1,3.1,0.62,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8189,Centene Corporation,Wellcare by Allwell,12953,3.5,3.3,3.3,6.3,3.1,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H1914,Centene Corporation,Wellcare,11263,3.5,2.9,3.1,5.5,3.0,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H6876,"Zing Health Consolidator, Inc",Zing Health,6199,3,2.7,2.6,6.4,3.0,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0913,Centene Corporation,Wellcare,13173,3.5,3.2,3.0,6.4,2.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4045,SANTA CLARA COUNTY HEALTH AUTHORITY,Santa Clara Family Health Plan,11853,3.5,3.2,3.1,5.8,2.9,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5859,"CareOregon, Inc.",CareOregon Advantage,13288,3.5,3.3,3.2,6.5,2.9,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
