account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
Wells Fargo,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,3/26/2024,SF Active Customers Jul10,2026-07-13
Wells Fargo (Alvaria),Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,11/12/2024,SF Active Customers Jul10,2026-07-13
Wells Fargo (Five9),Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,2500,3/26/2024,SF Active Customers Jul10,2026-07-13
Aetna,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,7100,8/1/2013,SF Active Customers Jul10,2026-07-13
Aetna Dental,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/1/2013,SF Active Customers Jul10,2026-07-13
Aetna Medicaid,Healthcare Payer,Health Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
Aetna Medicare,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/1/2013,SF Active Customers Jul10,2026-07-13
Aetna Provider Services,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/1/2013,SF Active Customers Jul10,2026-07-13
Blue Cross Blue Shield of North Carolina,Healthcare Payer,Health Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
CIGNA,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,15000,12/28/2017,SF Active Customers Jul10,2026-07-13
CVS Health,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,20000,3/22/2019,SF Active Customers Jul10,2026-07-13
CVS Health PBM,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/1/2013,SF Active Customers Jul10,2026-07-13
CVS Health Retail,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,868,8/1/2013,SF Active Customers Jul10,2026-07-13
CVS Health Specialty,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,6300,8/1/2013,SF Active Customers Jul10,2026-07-13
Elevance Health,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,5298,12/21/2016,SF Active Customers Jul10,2026-07-13
Health Care Service Corporation,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,5500,7/24/2023,SF Active Customers Jul10,2026-07-13
Humana,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,2520,1/30/2020,SF Active Customers Jul10,2026-07-13
Molina Healthcare,Healthcare Payer,Health Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,11/1/2025,SF Active Customers Jul10,2026-07-13
Optum,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/29/2016,SF Active Customers Jul10,2026-07-13
OptumRx,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
UnitedHealth Group (UHG),Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/29/2016,SF Active Customers Jul10,2026-07-13
UnitedHealthcare,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,28482,8/29/2016,SF Active Customers Jul10,2026-07-13
VitalityHealth,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,1100,8/25/2022,SF Active Customers Jul10,2026-07-13
AXA (UK),Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,700,7/2/2018,SF Active Customers Jul10,2026-07-13
Amica Mutual,Insurance,Home & Auto Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
Assurant,Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,1835,12/19/2017,SF Active Customers Jul10,2026-07-13
Auto & General Insurance Company,Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,3/15/2023,SF Active Customers Jul10,2026-07-13
CAA Club Group,Insurance,Home & Auto Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,8/30/2024,SF Active Customers Jul10,2026-07-13
Farmers Insurance,Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,555,3/13/2011,SF Active Customers Jul10,2026-07-13
Royal Automobile Club Victoria (RACV),Insurance,Home & Auto Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
SCAN Health Plan,Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
The Travelers Companies,Insurance,Insurance,1,Claims / Underwriting support,Back Office Optimizer,bo_claims;bo_shared,4,install_base,TRUE,FALSE,FALSE,,4/12/2021,SF Active Customers Jul10,2026-07-13
