record_id,name,domain,type,sf_account_id
1024663018,Virgin Media O2 (UK),http://www.virginmedia.com,Customer,
1024663025,Pepco Holdings(PHI),https://www.pepco.com,Customer,
1024663075,Dominion Energy,www.dominionenergy.com,Customer,
1024663090,Wayfair,www.wayfair.com,Customer,
1024663104,Thrive Global,www.thriveglobal.com,Partner,
1024663106,Progressive Leasing,www.progleasing.com,Customer,
1024663107,BT Group,https://www.btplc.com/Thegroup/Ourcompany/Groupbusinesses/btconsumer/index.htm,Customer,
1024663127,Snap Finance LLC,www.snapfinance.com,Customer,
1024663152,Evolent,evolent.com,Customer,
1024663186,Pega,http://www.pega.com,Partner,
1024663201,Verint Systems,,Partner,
1024663211,Calabrio,www.calabrio.com,Partner,
1024663216,CPS Testing,cps.com,Customer,
1024663254,Baylor Scott & White Health,www.bswhealth.com,Customer,
1024663308,PG&E TSC,,Customer,
1024663318,NWN,www.nwn.ai,Partner,
1329369126,MOHELA,www.mohela.com/,Partner,
